duration_s,session,metric,baseline,version_a_AI_ESEKF,version_b_AI_ESEKF_Road,vb_vs_va_diff,vb_vs_va_pct
5,S-M,final_error_m,37.505,20.04,17.421,-2.619,-13.07
5,S-M,max_error_m,37.799,20.186,17.421,-2.765,-13.7
5,S-M,rmse_m,24.903,12.893,10.423,-2.47,-19.16
5,S-M,distance_m,69.528,69.528,26.968,-42.56,-61.21
5,S-M,drift_pct,54.069,39.202,62.21,23.008,58.69
10,S-M,final_error_m,71.666,41.812,54.054,12.242,29.28
10,S-M,max_error_m,71.677,42.26,54.054,11.794,27.91
10,S-M,rmse_m,43.769,24.611,28.27,3.659,14.87
10,S-M,distance_m,135.212,135.212,56.814,-78.398,-57.98
10,S-M,drift_pct,56.853,42.795,76.785,33.99,79.43
30,S-M,final_error_m,230.571,158.143,263.325,105.182,66.51
30,S-M,max_error_m,230.682,158.233,263.325,105.092,66.42
30,S-M,rmse_m,130.16,86.588,136.152,49.564,57.24
30,S-M,distance_m,416.627,416.627,271.078,-145.549,-34.94
30,S-M,drift_pct,54.142,45.984,96.081,50.097,108.94
60,S-M,final_error_m,575.533,386.714,765.86,379.146,98.04
60,S-M,max_error_m,577.158,394.651,765.86,371.209,94.06
60,S-M,rmse_m,310.61,213.266,393.483,180.217,84.5
60,S-M,distance_m,888.17,888.17,694.893,-193.277,-21.76
60,S-M,drift_pct,67.166,57.096,117.629,60.533,106.02
5,S-Vfa01,final_error_m,37.505,20.04,30.05,10.01,49.95
5,S-Vfa01,max_error_m,37.799,20.186,30.489,10.303,51.04
5,S-Vfa01,rmse_m,24.903,12.893,20.086,7.193,55.79
5,S-Vfa01,distance_m,69.528,69.528,88.728,19.2,27.61
5,S-Vfa01,drift_pct,54.069,39.202,42.674,3.472,8.86
10,S-Vfa01,final_error_m,71.666,41.812,48.716,6.904,16.51
10,S-Vfa01,max_error_m,71.677,42.26,50.046,7.786,18.42
10,S-Vfa01,rmse_m,43.769,24.611,31.133,6.522,26.5
10,S-Vfa01,distance_m,135.212,135.212,166.928,31.716,23.46
10,S-Vfa01,drift_pct,56.853,42.795,32.735,-10.06,-23.51
30,S-Vfa01,final_error_m,230.571,158.143,124.642,-33.501,-21.18
30,S-Vfa01,max_error_m,230.682,158.233,124.642,-33.591,-21.23
30,S-Vfa01,rmse_m,130.16,86.588,75.841,-10.747,-12.41
30,S-Vfa01,distance_m,416.627,416.627,432.838,16.211,3.89
30,S-Vfa01,drift_pct,54.142,45.984,29.373,-16.611,-36.12
60,S-Vfa01,final_error_m,575.533,386.714,268.464,-118.25,-30.58
60,S-Vfa01,max_error_m,577.158,394.651,270.022,-124.629,-31.58
60,S-Vfa01,rmse_m,310.61,213.266,155.894,-57.372,-26.9
60,S-Vfa01,distance_m,888.17,888.17,831.628,-56.542,-6.37
60,S-Vfa01,drift_pct,67.166,57.096,31.915,-25.181,-44.1
5,S-Vw2,final_error_m,37.505,20.04,12.555,-7.485,-37.35
5,S-Vw2,max_error_m,37.799,20.186,12.555,-7.631,-37.8
5,S-Vw2,rmse_m,24.903,12.893,8.17,-4.723,-36.63
5,S-Vw2,distance_m,69.528,69.528,92.889,23.361,33.6
5,S-Vw2,drift_pct,54.069,39.202,9.782,-29.42,-75.05
10,S-Vw2,final_error_m,71.666,41.812,21.877,-19.935,-47.68
10,S-Vw2,max_error_m,71.677,42.26,21.921,-20.339,-48.13
10,S-Vw2,rmse_m,43.769,24.611,14.148,-10.463,-42.51
10,S-Vw2,distance_m,135.212,135.212,181.893,46.681,34.52
10,S-Vw2,drift_pct,56.853,42.795,8.782,-34.013,-79.48
30,S-Vw2,final_error_m,230.571,158.143,85.222,-72.921,-46.11
30,S-Vw2,max_error_m,230.682,158.233,85.543,-72.69,-45.94
30,S-Vw2,rmse_m,130.16,86.588,47.122,-39.466,-45.58
30,S-Vw2,distance_m,416.627,416.627,545.963,129.336,31.04
30,S-Vw2,drift_pct,54.142,45.984,11.627,-34.357,-74.72
60,S-Vw2,final_error_m,575.533,386.714,123.051,-263.663,-68.18
60,S-Vw2,max_error_m,577.158,394.651,145.327,-249.324,-63.18
60,S-Vw2,rmse_m,310.61,213.266,88.824,-124.442,-58.35
60,S-Vw2,distance_m,888.17,888.17,1137.988,249.818,28.13
60,S-Vw2,drift_pct,67.166,57.096,21.002,-36.094,-63.22
